,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,PCT_DREB,STL,PCT_STL,BLK,PCT_BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,DEF_WS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,PCT_DREB_RANK,STL_RANK,PCT_STL_RANK,BLK_RANK,PCT_BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,DEF_WS_RANK,CFID,CFPARAMS
0,201985,AJ Price,1610612764,WAS,26.0,57,21,36,0.368,1277.9966666666667,100.1,94,0.074,0.115,33,0.156,3,0.024,429,347,327,1022,5.15,265,291,322,346,220,104,285,391,389,231,309,376,415,242,246,239,236,144,5,"201985,1610612764"
1,201166,Aaron Brooks,1610612745,HOU,28.0,53,20,33,0.377,996.7983333333333,111.3,67,0.07,0.111,30,0.186,10,0.093,364,313,347,842,0.54,284,298,284,335,264,455,328,408,398,247,231,275,304,209,231,250,205,413,5,"201166,1610612745"
2,201189,Aaron Gray,1610612761,TOR,28.0,42,14,28,0.333,513.3416666666667,104.3,85,0.181,0.269,7,0.093,5,0.167,161,124,108,472,1.44,332,357,239,370,339,287,297,84,95,389,429,350,208,121,117,103,138,351,5,"201189,1610612761"
3,1733,Al Harrington,1610612753,ORL,33.0,10,3,7,0.3,118.85833333333333,117.5,21,0.191,0.296,4,0.333,1,0.077,45,43,27,102,-0.16,434,441,50,410,424,464,407,64,60,413,13,414,331,48,54,43,47,465,5,"1733,1610612753"
4,201143,Al Horford,1610612737,ATL,27.0,74,42,32,0.568,2756.445,102.6,562,0.206,0.31,78,0.168,78,0.283,907,734,652,2394,8.92,146,99,272,159,26,206,9,45,48,69,278,37,118,442,442,410,447,31,5,"201143,1610612737"
5,2744,Al Jefferson,1610612762,UTA,28.0,78,41,37,0.526,2578.1283333333336,108.5,564,0.237,0.363,80,0.189,89,0.279,851,671,736,2372,3.72,83,105,335,204,42,425,8,18,18,65,220,28,122,421,423,436,441,200,5,"2744,1610612762"
6,202329,Al-Farouq Aminu,1610612740,NOH,22.0,76,25,51,0.329,2066.1033333333335,105.9,446,0.23,0.34,92,0.313,51,0.195,744,543,584,1866,4.7,115,247,437,382,109,353,27,21,28,44,28,78,175,382,348,375,381,166,5,"202329,1610612740"
7,101187,Alan Anderson,1610612761,TOR,30.0,65,31,34,0.477,1495.0116666666668,106.9,114,0.084,0.136,48,0.208,7,0.054,426,421,277,1272,2.91,210,181,298,259,188,380,249,347,330,158,181,314,367,238,286,208,277,248,5,"101187,1610612761"
8,202692,Alec Burks,1610612762,UTA,21.0,64,32,32,0.5,1136.6033333333332,102.1,108,0.098,0.149,35,0.177,13,0.088,422,261,341,916,4.01,217,175,272,227,241,175,258,295,294,220,260,245,312,235,199,245,219,193,5,"202692,1610612762"
9,203144,Alexey Shved,1610612750,MIN,24.0,77,30,47,0.39,1839.5283333333334,102.8,134,0.075,0.114,54,0.177,27,0.122,653,491,545,1674,5.94,105,186,415,324,143,218,224,386,392,138,258,152,264,334,318,353,342,112,5,"203144,1610612750"
10,202087,Alonzo Gee,1610612739,CLE,26.0,82,24,58,0.293,2540.5316666666668,109.7,245,0.105,0.165,107,0.246,29,0.132,876,721,745,2372,2.72,1,258,462,414,47,441,109,279,269,28,107,145,246,434,439,440,441,261,5,"202087,1610612739"
11,2405,Amar'e Stoudemire,1610612752,NYK,30.0,29,16,13,0.552,681.9416666666667,104.9,85,0.139,0.202,10,0.091,21,0.404,211,144,171,540,1.75,379,341,82,175,316,314,297,178,200,375,431,187,66,144,133,149,151,328,5,"2405,1610612752"
12,101161,Amir Johnson,1610612761,TOR,26.0,81,34,47,0.42,2324.81,102.3,384,0.172,0.262,81,0.223,110,0.445,681,593,484,1846,7.91,29,156,415,300,66,183,37,103,104,60,146,17,57,352,378,318,377,52,5,"101161,1610612761"
13,2760,Anderson Varejao,1610612739,CLE,30.0,25,5,20,0.2,900.905,107.3,223,0.272,0.415,37,0.23,14,0.23,336,214,291,762,1.63,392,429,144,452,280,390,124,5,5,210,136,233,151,197,167,217,188,333,5,"2760,1610612739"
14,101154,Andray Blatche,1610612751,BKN,26.0,82,49,33,0.598,1555.1783333333333,103.0,256,0.185,0.284,86,0.302,54,0.409,578,365,463,1458,4.94,1,47,284,135,181,228,102,76,74,52,39,71,63,308,259,308,307,152,5,"101154,1610612751"
15,203083,Andre Drummond,1610612765,DET,19.0,60,23,37,0.383,1242.69,106.1,288,0.235,0.378,59,0.331,95,0.601,475,403,322,1050,2.72,243,275,335,330,225,359,78,20,10,124,20,22,14,265,269,234,241,262,5,"203083,1610612765"
16,2738,Andre Iguodala,1610612743,DEN,29.0,80,57,23,0.713,2778.8883333333333,102.2,341,0.118,0.186,139,0.256,52,0.135,954,800,658,2362,9.5,46,15,181,60,23,180,55,240,235,8,87,76,242,447,456,414,440,25,5,"2738,1610612743"
17,1889,Andre Miller,1610612743,DEN,37.0,82,57,25,0.695,2151.2883333333334,103.2,178,0.08,0.128,73,0.186,11,0.039,806,668,539,1730,6.67,1,15,203,68,95,235,172,368,360,84,233,266,396,408,418,348,354,83,5,"1889,1610612743"
18,200745,Andrea Bargnani,1610612761,TOR,27.0,35,10,25,0.286,1002.5066666666667,108.5,102,0.107,0.171,21,0.141,23,0.25,321,279,311,944,1.51,366,387,203,420,263,424,273,273,263,292,344,176,139,190,208,228,223,346,5,"200745,1610612761"
19,1905,Andrei Kirilenko,1610612750,MIN,32.0,64,26,38,0.406,2033.8866666666668,103.2,260,0.137,0.207,96,0.25,62,0.313,694,524,576,1804,6.28,217,232,350,312,116,239,96,186,191,39,96,55,103,358,336,371,371,100,5,"1905,1610612750"
20,101106,Andrew Bogut,1610612744,GSW,28.0,32,19,13,0.594,785.71,103.4,177,0.212,0.311,20,0.208,55,0.724,264,222,238,638,2.39,371,312,82,140,301,245,174,38,47,298,179,64,2,168,173,184,165,284,5,"101106,1610612744"
21,202726,Andrew Goudelock,1610612747,LAL,24.0,1,1,0,1.0,6.2,114.3,0,0.0,0.0,0,0.0,0,0.0,3,2,3,8,0.0,466,456,1,1,462,460,464,464,464,449,449,430,430,9,7,9,9,458,5,"202726,1610612747"
22,203094,Andrew Nicholson,1610612753,ORL,23.0,75,18,57,0.24,1249.4083333333333,103.0,189,0.153,0.226,24,0.153,32,0.232,446,286,340,1062,4.01,134,326,459,442,223,224,158,136,161,274,321,127,148,252,214,244,245,194,5,"203094,1610612753"
23,2740,Andris Biedrins,1610612744,GSW,27.0,53,28,25,0.528,495.21666666666664,101.7,119,0.219,0.331,15,0.214,42,0.656,199,177,140,366,1.81,284,205,203,199,346,163,243,33,32,330,162,95,9,139,152,127,114,322,5,"2740,1610612744"
24,1712,Antawn Jamison,1610612747,LAL,37.0,76,41,35,0.539,1635.5916666666667,106.1,253,0.146,0.225,30,0.13,22,0.127,561,505,545,1554,3.6,115,105,308,189,173,358,106,154,164,247,374,182,253,298,326,353,323,213,5,"1712,1610612747"
25,203076,Anthony Davis,1610612740,NOH,20.0,64,23,41,0.359,1845.9516666666666,107.8,357,0.213,0.316,75,0.272,112,0.489,676,474,548,1718,3.13,217,275,384,354,142,405,52,37,42,75,64,15,44,347,313,357,351,237,5,"203076,1610612740"
26,201627,Anthony Morrow,1610612742,DAL,27.0,41,25,16,0.61,383.045,105.7,19,0.056,0.091,13,0.188,1,0.043,132,107,102,298,0.88,335,247,109,125,371,345,412,448,439,347,221,414,384,101,100,99,94,384,5,"201627,1610612742"
27,201576,Anthony Randolph,1610612743,DEN,23.0,39,29,10,0.744,328.9033333333333,102.7,66,0.174,0.283,19,0.306,21,0.356,150,102,104,274,1.13,345,195,68,36,384,212,332,99,78,300,33,187,89,111,93,101,88,367,5,"201576,1610612743"
28,201229,Anthony Tolliver,1610612737,ATL,28.0,62,28,34,0.452,963.16,99.5,124,0.128,0.191,15,0.104,12,0.167,355,240,219,800,4.17,227,205,298,276,270,87,238,208,221,330,415,253,208,204,183,171,197,188,5,"201229,1610612737"
29,203102,Arnett Moultrie,1610612755,PHI,22.0,47,20,27,0.426,541.7083333333334,104.4,69,0.134,0.209,17,0.198,10,0.204,170,134,142,474,1.51,316,298,230,297,335,292,323,193,189,314,199,275,166,128,122,128,139,345,5,"203102,1610612755"
30,203382,Aron Baynes,1610612759,SAS,26.0,16,11,5,0.688,141.355,97.1,20,0.138,0.2,1,0.032,6,0.429,41,36,40,116,0.77,417,378,37,74,421,37,409,182,205,437,448,326,61,46,49,52,49,394,5,"203382,1610612759"
31,201167,Arron Afflalo,1610612753,ORL,27.0,64,18,46,0.281,2306.65,109.2,210,0.095,0.141,40,0.133,11,0.059,793,602,638,2094,2.85,217,326,407,423,70,433,138,308,319,196,367,266,358,406,384,403,406,252,5,"201167,1610612753"
32,201948,Austin Daye,1610612763,MEM,25.0,55,34,21,0.618,675.6333333333333,102.3,107,0.161,0.239,14,0.135,22,0.265,231,153,237,560,2.42,277,156,157,120,317,187,260,124,135,341,363,182,135,156,138,183,155,281,5,"201948,1610612763"
33,203085,Austin Rivers,1610612740,NOH,20.0,61,21,40,0.344,1417.55,107.1,93,0.07,0.109,26,0.16,9,0.055,473,418,380,1246,2.64,232,291,370,361,202,386,288,406,402,266,299,288,366,264,282,271,273,268,5,"203085,1610612740"
34,202340,Avery Bradley,1610612738,BOS,22.0,50,27,23,0.54,1434.635,102.4,81,0.055,0.088,64,0.259,19,0.128,495,461,382,1318,4.87,300,217,181,188,196,190,302,450,444,109,83,195,251,276,308,273,285,159,5,"202340,1610612738"
35,2732,Ben Gordon,1610612766,CHA,30.0,75,19,56,0.253,1559.9933333333333,113.5,112,0.076,0.128,35,0.156,16,0.09,615,495,459,1472,-0.19,134,312,457,434,180,459,250,381,353,220,310,217,309,318,321,306,310,468,5,"2732,1610612766"
